TITLE,BGG_URL,COMMENTS,LOCATION,BGG_ID,MINPLAYERS,MAXPLAYERS,THUMBNAIL,IMAGE,DESCRIPTION,YEAR,TYPE,BASEGAME
Advanced DnD - Dungeon Masters Option: High-Level Campaigns,,,Games Locker 2 R2 Small Box,,,,,,,,,
Advanced DnD - Players Handbook,,,Games Locker 2 R2 Small Box,,,,,,,,,
Advanced DnD - Players Option: Spells and Magic,,,Games Locker 2 R2 Small Box,,,,,,,,,
Advanced DnD 2nd ed. - Dungeon Master Guide,,,Games Locker 2 R2 Small Box,,,,,,,,,
Advanced DnD 2nd ed. - Monstrous Manual,,,Games Locker 2 R2 Small Box,,,,,,,,,
Advanced DnD 2nd ed. - Players Handbook Rules Supplement: The Complete Wizards Handbook,,,Games Locker 2 R2 Small Box,,,,,,,,,
Advanced DnD 2nd ed. - Tome of Magic,,,Games Locker 2 R2 Small Box,,,,,,,,,
Advanced Squad Leader: Starter Kit #1,https://boardgamegeek.com/boardgame/9823/advanced-squad-leader-starter-kit-1,,R2,9823,2.0,2.0,https://cf.geekdo-images.com/thumb/img/Wm-NMazCuHU6nKlE8CYTR_Sd_j4=/fit-in/200x150/pic40772.jpg,https://cf.geekdo-images.com/original/img/H5X-vLvwJs4RUHH15PwHyI1sKM8=/0x0/pic40772.jpg,"(from MMP website and user's description:)Advanced Squad Leader (ASL) Starter Kit #1 teaches new players the basic concepts of the major Infantry and Terrain rules from Advanced Squad Leader by using an abbreviated and illustrated rulebook.The ASL Starter Kit #1 is a stand-alone game, with six scenarios that require only the maps and counters provided in the module. The two mapboards that are included also work with both Squad Leader and Advanced Squad Leader, and the scenarios can be played using full Advanced Squad Leader rules if desired.Contents:        2 8x22 Geomorphic Maps (y and z) for the ASL System        1 full Countersheet of 1/2"" counters        6 scenarios printed on 3 individual cardstock sheets        1 Quick Reference Data Chart printed on cardstock sheet        1 12-page rules booklet with plentiful color illustrations        2 diceScenario List:        ASL S01 Retaking Vierville        ASL S02 War of the Rats        ASL S03 Simple Equation        ASL S04 Welcome Back        ASL S05 Clearing Colleville        ASL S06 Released from the EastTime Scale: Two minutes per turnUnit Scale: Individual men, half-squads, and squadsPlayers: TwoPlaying Time: Up to 4 hours per scenarioComplexity: MediumSolitaire Suitability: High",2004.0,Game,
Advanced Squad Leader: Starter Kit #3,https://boardgamegeek.com/boardgame/20542/advanced-squad-leader-starter-kit-3,completely new,R2,20542,2.0,2.0,https://cf.geekdo-images.com/thumb/img/Y0YGD2QgjO_kcJ-Xbkz8ge_BiQ0=/fit-in/200x150/pic131917.jpg,https://cf.geekdo-images.com/original/img/ezsHhdGQNvVxWGtds3re_ig2qu4=/0x0/pic131917.jpg,"(from MMP website:)ASL Starter Kit #3 is a self-contained ASL module which will give players the opportunity to start playing Advanced Squad Leader almost immediately. A liberally-illustrated rulebook teaches gamers ASL using a conversational style to teach the concepts of ASL. If you own and play ASL Starter Kit #2 you will be pleasantly surprised to find how easy it is to spot the new rules in ASLSK#3 - we've highlighted the new rules so that you can skip rereading what you've learned in ASLSK#2 and get right to the new rules!What does ASLSK#3 add? TANKS! The famous and deadly German ""Tiger"". The reliable ""Sherman"". The tank which won the east - the T-34.We know we'll get the inevitable question ""Do I have to buy ASLSK#1 and/or ASLSK#2 to get ASLSK#3?"" The Starter Kits are self contained. Each has everything you need to play what's in the box, with the higher numbers adding to the ASL knowledge you'll have from playing previous Starter Kits. We do not anticipate changing what you've learned from prior Starter Kits (for example, ASLSK#3 adds about 6 pages of rules to the base built by ASLSK#1 and ASLSK#2). A better question would be ""Do I need ASLSK#2 if I buy ASLSK#3?"". The short answer is a resounding no! You can dive right in with ASLSK#3. But if you do, and you like the game, ASLSK#1 and ASLSK#2 both add more boards and scenarios for you to enjoy. We know it's a little confusing, we hope this clears it up a bit.Contents:        3 8x22 Geomorphic Maps (t, u, and v) for the ASL System        1 full Countersheet of 1/2"" counters        1 full Countersheet of 1/2"" and 5/8"" counters        1 half Countersheet of 5/8"" counters        8 scenarios printed on 4 individual cardstock sheets        2 quick reference charts printed on cardstock sheet        1 28-page rules booklet (about 17 pages are rules) with plentiful color illustrations        1 12-page vehicle and ordnance notes booklet        2 diceScenario List:        S20 Joseph 351 Pointe de Corsen, France, 28 August 1944        S21 Clash at Borisovka Borisovka, Russia, 14 March 1943        S22 Another Summer's Day Niscemi, Sicily, 10 July 1943        S23 Monty's Gamble Oosterbeek, Holland, 20 September 1944        S24 Sherman Marches West Krupki, Byelorussia, 28 June 1944        S25 Early Battles Kaunas, Lithuania, 26 June 1941        S26 Last Ally, Last Victory Puspokladany, Hungary, 10 October 1944        S27 Stand For New Zealand Galatas, Crete 25 May 1941Time Scale:    2 minutes per Game TurnUnit Scale:    5 to 10 men, plus individual leaders, vehicles, gunsMap Scale    40 meters per hexPlayers:    2 (also suitable for solitaire or team play)Complexity:    MediumSolitaire Suitability:    Medium(user's description:) The final in the three part series of starter kits for Advanced Squad Leader. The goal of these is to introduce the rules of the massive World War II wargame in more manageable pieces. While the first focused on small infantry-only skirmishes, the second is based around confrontations involving infantry and the use of field ordnance, the third introduces the world of tanks and other fighting vehicles. The box is a complete game, including rules (complete with updated rules from Advanced Squad Leader: Starter Kit #1 & Advanced Squad Leader: Starter Kit #2), counters, eight scenarios, (S20-S27) and three new maps (boards t, u, and v).",2007.0,Game,
Age of Industry,https://boardgamegeek.com/boardgame/65901/age-industry,,Games Locker 2 R2 Upper Moving Box,65901,2.0,5.0,https://cf.geekdo-images.com/thumb/img/WCUufeauCcnzk1w_kbfcyllKwgI=/fit-in/200x150/pic715611.jpg,https://cf.geekdo-images.com/original/img/do4B60uJJSXhiOilST92I8SH43c=/0x0/pic715611.jpg,"Martin Wallace's streamlined redesign of Brass: Lancashire.Players are tycoons in the early days of the Industrial Revolution; a time when traditional craftsman were being rapidly replaced with steam-powered machines. Players invest in the production of raw materials, the manufacture of goods, and the transportation networks needed to connect them to their markets.Like Brass, the strategic space is vast, and player decisions are limited by cards. In Age of Industry, however, cards are color-coded to regions rather than specific cities, allowing the players to be more flexible with their plans, while at the same time continuing to limit the decisions available. The color-coded region cards will also support expansion maps.In addition, the original Brass rules were simplified by eliminating the canal period; there is only one period, the railway era. There is also a new, non-specific industry, which will change with each map.According to Wallace, ""You can now play something with the depth of Brass, but in half the time. The game will have a double-sided map, with Germany on one side and southern New England on the other.""",2010.0,Game,
